Si Density=2.33,Thickness=0.2 microns
energy,transmission
19264.,0.99978    
19532.,0.99979    
19804.,0.99980    
20080.,0.99981    
20360.,0.99982    
20644.,0.99982    
20932.,0.99983    
21224.,0.99984    
21520.,0.99984    
21820.,0.99985    
22124.,0.99986    
22432.,0.99986    
22745.,0.99987    
23062.,0.99987    
23383.,0.99988    
23709.,0.99988    
24040.,0.99989    
24375.,0.99989    
24715.,0.99990    
25059.,0.99990    
25408.,0.99990    
25763.,0.99991    
26122.,0.99991    
26486.,0.99991    
26855.,0.99992    
27229.,0.99992    
27609.,0.99992    
27994.,0.99993    
28384.,0.99993    
28780.,0.99993    
29181.,0.99994    
29588.,0.99994    
30000.,0.99994    
